2544	3.5920316	-30.4057576	18.3087	0.35	17.41
2925	3.5862487	-30.4001636	18.3822	0.164	-66.56
8103	3.5542097	-30.3763112	18.2144	0.135	37.76
8993	3.5417179	-30.3724419	18.3167	0.354	3.14
11190	3.5784633	-30.3568981	18.2873	0.238	-69.89
9483	3.5892489	-30.3690767	17.8874	0.739	-4.87
2829	3.5310247	-30.4072574	18.4014	0.195	19.65
221	3.585996	-30.4354126	18.4266	0.216	53.68
3847	3.5947893	-30.3916512	18.4704	0.348	-59.73
2952	3.529902	-30.4062433	18.5189	0.15	61.31
554	3.5750341	-30.4283356	18.6653	0.582	-13.27
1377	3.622563	-30.4190414	18.6865	0.213	-44.84
2069	3.6124019	-30.4092365	18.7509	0.298	-81.84
2482	3.5796603	-30.4091796	18.755	0.257	-4.15
9135	3.5874337	-30.3712964	18.7621	0.625	-8.99
4647	3.5853808	-30.3942724	18.8291	0.278	33.23
7300	3.5542515	-30.3820727	18.9345	0.35	32.03
7058	3.609536	-30.3821072	18.9418	0.282	-37.28
10244	3.5654383	-30.3655779	18.9508	0.158	-60.0
4434	3.6106571	-30.3956014	18.9813	0.084	87.63
192	3.5830725	-30.4335393	18.9833	0.321	-87.72
3891	3.5876378	-30.3964181	18.9842	0.087	-71.38
11918	3.5771875	-30.3525562	19.1333	0.319	-65.42
10670	3.5651979	-30.3620867	19.1375	0.272	-72.57
9714	3.5865115	-30.3673716	19.1425	0.148	57.73
3225	3.5925074	-30.4046142	19.1611	0.148	38.19
9544	3.6243173	-30.3695391	19.2027	0.17	55.09
6132	3.5663519	-30.388253	19.2632	0.672	-25.76
3253	3.5785044	-30.4033687	19.2792	0.153	13.94
11550	3.6276564	-30.3554653	19.3255	0.234	-27.63
4021	3.5929927	-30.3993259	19.3832	0.757	43.17
8091	3.5750763	-30.3770695	19.3857	0.682	-23.45
4357	3.5748954	-30.398374	19.3873	0.482	-22.22
173	3.5963181	-30.4361753	19.3988	0.24	-18.5
797	3.5734957	-30.4228501	19.4046	0.28	60.08
11705	3.584401	-30.3545111	19.4094	0.314	8.48
2568	3.5248858	-30.4097178	19.4261	0.051	-20.81
733	3.6008278	-30.4267477	19.4441	0.355	68.31
1083	3.5891096	-30.4198092	19.4488	0.441	59.5
6217	3.5701535	-30.3864462	19.4933	0.167	-63.6
5562	3.5892111	-30.3898383	19.4942	0.207	-18.97
6828	3.5932686	-30.384372	19.4968	0.252	37.94
7749	3.6020528	-30.377687	19.5155	0.145	-47.48
4857	3.5881441	-30.3950705	19.5452	0.259	58.82
5984	3.5853089	-30.3875402	19.548	0.698	-57.89
4092	3.5865566	-30.3993783	19.5656	0.362	-72.31
10691	3.5412497	-30.3633625	19.5703	0.298	-6.77
2399	3.5739384	-30.4088214	19.5739	0.618	-40.75
6278	3.5891786	-30.3873908	19.6638	0.225	-79.73
2328	3.5394899	-30.4113022	19.673	0.218	70.43
6181	3.5563306	-30.3870111	19.7327	0.407	55.99
11361	3.576135	-30.3589813	19.7399	0.219	-22.36
9914	3.630002	-30.3681622	19.7518	0.068	-20.36
4768	3.5886749	-30.3960754	19.7793	0.463	76.74
2485	3.5570811	-30.4107661	19.7949	0.039	11.14
3988	3.5989607	-30.397531	19.8239	0.168	69.9
4212	3.5821522	-30.3985666	19.8249	0.191	16.34
9933	3.5856263	-30.3669001	19.83	0.394	-67.5
12590	3.5799415	-30.3456802	19.832	0.155	-73.16
5129	3.585198	-30.3946448	19.8329	0.131	17.17
10085	3.6066624	-30.3669686	19.836	0.345	-13.52
3344	3.6070053	-30.4034717	19.8707	0.271	-31.49
5791	3.5809477	-30.3908031	19.8714	0.409	-29.16
6533	3.6054231	-30.3848402	19.8783	0.588	29.48
3677	3.5625032	-30.4023977	19.9099	0.347	54.16
4180	3.6043356	-30.4001202	19.91	0.506	-7.37
6498	3.5655377	-30.3870844	19.916	0.345	40.07
4478	3.5883792	-30.3983508	19.9347	0.163	21.77
3443	3.5879306	-30.4008457	20.0102	0.698	-17.27
9656	3.5766118	-30.3687623	20.0152	0.237	83.43
8752	3.5605574	-30.3752335	20.0159	0.265	36.23
5609	3.5714983	-30.3904293	20.0242	0.071	60.23
1625	3.6026415	-30.4169517	20.0404	0.052	35.85
2764	3.5640085	-30.4062605	20.0439	0.263	-82.55
952	3.5713579	-30.4228304	20.0649	0.227	-70.16
3235	3.6318647	-30.4054164	20.0875	0.22	41.69
1912	3.6042761	-30.4145488	20.0916	0.517	29.87
3399	3.6180464	-30.4036633	20.0968	0.238	-53.31
6504	3.588141	-30.3850005	20.1354	0.583	-72.23
5918	3.5903366	-30.3909337	20.1385	0.251	31.45
6014	3.594703	-30.3891117	20.1496	0.093	-9.52
10378	3.5571874	-30.3651859	20.1693	0.331	48.76
8239	3.5815618	-30.3765154	20.1876	0.156	62.3
9577	3.5332048	-30.3700688	20.2047	0.264	-43.6
1568	3.580703	-30.4188673	20.2057	0.616	12.29
11343	3.5682899	-30.3584428	20.2114	0.256	-84.09
12961	3.573355	-30.3391144	20.2281	0.334	39.86
6908	3.6151381	-30.3837258	20.2334	0.352	-85.55
8884	3.567497	-30.3735735	20.2439	0.205	-42.11
7353	3.5953901	-30.3803996	20.2603	0.381	-71.41
5065	3.6187001	-30.3929241	20.2633	0.523	-19.39
1855	3.6013471	-30.4153589	20.2633	0.347	-36.77
7250	3.5653442	-30.382942	20.2649	0.268	-19.1
880	3.6130905	-30.4256487	20.2713	0.053	6.6
860	3.593556	-30.4260404	20.2747	0.579	-13.16
4492	3.5788644	-30.397091	20.2852	0.332	71.62
12690	3.5698013	-30.3441637	20.2964	0.184	-60.99
6093	3.6131783	-30.3896957	20.2975	0.377	-57.88
9251	3.5385646	-30.3723158	20.3132	0.101	-26.8
5625	3.5456847	-30.3918954	20.3136	0.291	87.48
8639	3.5470537	-30.3761282	20.3151	0.024	-75.19
2413	3.5590324	-30.4106514	20.3306	0.653	77.13
9102	3.5806944	-30.3713893	20.3373	0.344	64.02
4056	3.6052582	-30.4008029	20.3586	0.312	17.49
2986	3.5959073	-30.4062145	20.3737	0.185	-71.26
1537	3.6009526	-30.4178386	20.3865	0.602	-54.43
6746	3.5837099	-30.3846777	20.4225	0.1	49.78
7981	3.6095739	-30.3787634	20.4234	0.254	-9.34
1052	3.5524832	-30.4232999	20.4384	0.237	-74.53
8317	3.553711	-30.3779817	20.4469	0.079	4.63
7006	3.555379	-30.3846263	20.4483	0.075	-77.28
5261	3.5813841	-30.3939268	20.4747	0.41	38.78
9381	3.5639764	-30.3718788	20.4932	0.296	-9.98
10797	3.5852677	-30.3624793	20.5103	0.079	40.06
8792	3.5875372	-30.373942	20.5165	0.474	-86.51
6832	3.5925418	-30.3853103	20.5231	0.32	86.09
1305	3.5648881	-30.4213006	20.5247	0.243	-8.12
8287	3.5571414	-30.37786	20.525	0.114	37.91
2642	3.5891263	-30.4095669	20.5415	0.52	38.21
3611	3.6166725	-30.4027066	20.5417	0.218	64.83
8932	3.5534141	-30.3745036	20.5485	0.036	57.98
394	3.5911681	-30.4336857	20.5563	0.38	70.22
73	3.6120279	-30.4455797	20.563	0.114	26.02
426	3.5832776	-30.4322896	20.5637	0.121	83.44
4954	3.5789419	-30.3941131	20.579	0.283	88.01
6354	3.5987595	-30.3880143	20.5849	0.386	-39.84
3008	3.5917137	-30.4078009	20.5906	0.37	30.99
2243	3.569582	-30.4121555	20.608	0.622	40.05
3108	3.6280841	-30.4078796	20.6119	0.181	51.29
7950	3.5607276	-30.3791801	20.6127	0.399	-58.03
265	3.563457	-30.4366101	20.6529	0.036	73.47
5633	3.5543456	-30.3917945	20.6558	0.207	-8.1
11418	3.5794062	-30.3583765	20.6643	0.361	-84.39
2495	3.5888103	-30.4107183	20.6855	0.075	1.41
2921	3.5623124	-30.4072215	20.6885	0.285	87.29
8279	3.567295	-30.3773587	20.7144	0.109	14.56
9317	3.5408864	-30.3723779	20.7196	0.082	-78.85
1160	3.6289597	-30.4231336	20.7303	0.185	47.35
5499	3.5849808	-30.3928716	20.7355	0.521	49.86
10674	3.5509397	-30.3636335	20.747	0.236	-89.86
4161	3.5839853	-30.3992541	20.7478	0.81	-16.23
4213	3.5944564	-30.4003455	20.7483	0.164	-41.18
9879	3.619283	-30.3688288	20.7509	0.212	64.19
7000	3.5693308	-30.3842546	20.7539	0.357	54.96
1183	3.6050528	-30.4198327	20.7631	0.091	-7.92
7220	3.5902731	-30.382695	20.7831	0.449	-77.36
7973	3.5734463	-30.3779268	20.7868	0.379	-50.57
6297	3.5955015	-30.3886821	20.7877	0.383	46.23
783	3.6363311	-30.4271938	20.8017	0.169	-63.3
10547	3.5929665	-30.3645067	20.8037	0.342	-8.37
6110	3.5942336	-30.3904565	20.8053	0.236	-0.46
9793	3.6207164	-30.3695563	20.8053	0.12	-29.16
3214	3.5978505	-30.4055511	20.8296	0.305	43.33
2751	3.6151489	-30.4084317	20.8442	0.09	-46.03
5666	3.5803662	-30.3921992	20.8559	0.489	-35.6
2974	3.5480808	-30.4084787	20.8743	0.084	32.2
1827	3.5330795	-30.4171839	20.8762	0.316	-2.55
3787	3.6151065	-30.4019337	20.88	0.12	62.05
12954	3.5737265	-30.3391899	20.883	0.323	-86.11
3301	3.5870333	-30.4049424	20.9074	0.203	80.16
801	3.5516651	-30.4270634	20.9261	0.11	-8.94
1415	3.5965553	-30.4198232	20.9436	0.169	-85.75
7898	3.576993	-30.3794758	20.9632	0.117	-28.64
11233	3.5792087	-30.3600009	20.9902	0.355	0.23
3202	3.6067974	-30.4055992	21.0021	0.261	-87.97
7262	3.5880343	-30.3825539	21.007	0.43	88.44
11174	3.6138033	-30.3596322	21.0123	0.263	-33.11
6747	3.5737311	-30.3859706	21.0138	0.334	-62.56
4695	3.5855132	-30.3971491	21.0165	0.056	34.7
11216	3.5725198	-30.3599624	21.0455	0.198	6.34
2651	3.5824994	-30.4099791	21.0629	0.062	-71.49
7479	3.5708572	-30.3819987	21.0665	0.317	-52.39
10663	3.5447702	-30.3636801	21.0748	0.28	-53.26
120	3.564925	-30.4431121	21.0894	0.279	-59.12
262	3.5655064	-30.437439	21.0952	0.279	44.07
9176	3.5378021	-30.3733467	21.1084	0.233	-19.35
6615	3.5783413	-30.3870972	21.1214	0.189	34.65
6276	3.5507288	-30.3889321	21.1585	0.254	-66.34
9694	3.6040934	-30.3689034	21.1607	0.14	-46.71
6932	3.5688681	-30.3853113	21.1634	0.08	-8.77
2095	3.6083897	-30.4135212	21.1719	0.19	31.08
5025	3.5476197	-30.3953017	21.1725	0.215	-75.12
