#Nsample
#ln(Lhood)
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : theta (deg)
#O1 : size_lattice (arcsec)
#O1 : Bspline_coeff_1
#O1 : Bspline_coeff_2
#O1 : Bspline_coeff_3
#O1 : Bspline_coeff_4
#O1 : Bspline_coeff_5
#O1 : Bspline_coeff_6
#O1 : Bspline_coeff_7
#O1 : Bspline_coeff_8
#O1 : Bspline_coeff_9
#O1 : Bspline_coeff_10
#O1 : Bspline_coeff_11
#O1 : Bspline_coeff_12
#O1 : Bspline_coeff_13
#O1 : Bspline_coeff_14
#O1 : Bspline_coeff_15
#O1 : Bspline_coeff_16
#O2 : emass
#O2 : theta (deg)
#O2 : rc (arcsec)
#O2 : sigma (km/s)
#O3 : x (arcsec)
#O3 : y (arcsec)
#O3 : sigma (km/s)
#O3 : rcut (arcsec)
#O4 : rc (arcsec)
#O4 : sigma (km/s)
#O4 : rcut (arcsec)
#O5 : x (arcsec)
#O5 : y (arcsec)
#O5 : emass
#O5 : theta (deg)
#O5 : rc (arcsec)
#O5 : sigma (km/s)
#O6 : x (arcsec)
#O6 : y (arcsec)
#O6 : emass
#O6 : theta (deg)
#O6 : rc (arcsec)
#O6 : sigma (km/s)
#O7 : x (arcsec)
#O7 : y (arcsec)
#O7 : emass
#O7 : theta (deg)
#O7 : rc (arcsec)
#O7 : sigma (km/s)
#Xray_error
#Pot0 rcut (arcsec)
#Pot0 sigma (km/s)
#Pot0 rcut_slope
#Pot0 sigma_slope
#Pot0 a
#Pot0 b
#Chi2
1 -33238.710935 -1.985513 5.557225 45.916955 24.541738 -17.354105 62.064164 49.378186 -62.286992 0.026088 8.708990 6.560003 64.108099 13.103149 47.083943 3.334693 37.964297 32.531807 23.822562 98.301876 -21.899282 0.652058 -38.982570 23.526332 1204.228239 -82.342724 38.656935 509.485671 11.671438 2.432283 376.945772 90.399060 6.304503 -27.166002 0.190585 102.256502 132.907168 323.899388 0.605436 -1.536216 0.314290 -12.582837 13.330770 208.823921 -20.630076 16.279827 0.144728 -29.807232 33.544133 369.261766 0.287624 3.000971 190.064841 1.560553 -0.538089 0.277740 1.665984 -437034.426216
2 -33237.301961 -3.304081 4.543521 53.333927 23.676054 -26.504982 69.419183 47.908975 -45.071056 -4.782266 17.166190 -4.724257 53.661991 16.001468 41.065099 23.038092 -15.231752 21.866254 31.164247 77.301446 -23.909591 0.665550 -38.644463 22.553217 1204.464359 -95.292854 39.604706 530.051635 17.279597 1.964186 362.246086 79.287167 6.230045 -28.091371 0.126937 118.429956 132.489428 322.871406 0.672528 -1.281828 0.342184 -11.662343 13.001113 204.243493 -19.655715 16.015348 0.147353 -30.772527 33.973814 374.093534 0.247837 3.185410 189.837786 1.395133 -0.569800 0.295930 1.649376 -437037.244164
3 -33239.800937 -1.984076 3.333248 49.840110 24.074164 -61.054499 -8.149456 26.411503 -80.882202 -42.483614 -5.579484 -51.089546 27.822589 -21.130768 -10.822268 -15.665102 -15.947610 28.970551 30.872477 65.900501 -42.598232 0.663624 -38.157113 24.155843 1191.615300 -82.411275 40.153689 411.251602 26.400799 2.532339 392.161913 96.354529 5.856493 -27.657242 0.121632 109.989882 134.875634 329.628821 0.709776 -1.073567 0.292019 -8.624727 12.869304 206.884533 -20.469214 16.323438 0.152556 -30.185546 33.689698 369.605199 0.278861 3.146693 182.578420 1.445814 -0.595764 0.284242 2.382941 -437032.246213
4 -33234.266679 -2.312934 6.433586 42.606687 24.913394 -46.799927 -8.552335 44.896065 -92.508824 -13.581530 6.859793 -32.609587 36.950593 -13.213302 0.062078 -27.873149 -14.960036 18.271556 14.411625 30.626955 -98.814267 0.646797 -37.894451 23.392956 1202.868535 -74.183220 46.737620 442.713445 23.005356 1.549538 386.766444 54.601810 6.773472 -25.519071 0.075904 116.093618 128.899334 326.767654 0.146427 -1.199209 0.306237 -10.941241 13.346411 211.266227 -20.796292 16.796167 0.138823 -29.545035 33.526061 365.105622 0.248600 3.527645 184.547960 1.368784 -0.508741 0.295578 1.140972 -437043.314729
5 -33238.953737 -3.678169 6.467632 50.056210 23.035429 -58.957922 5.338159 13.999996 -56.552062 -34.019501 -26.669139 -85.384101 23.293346 -58.163953 -12.845533 -28.199255 -62.899989 3.419686 -16.381484 28.913306 -55.530582 0.669076 -38.575956 22.345262 1201.216394 -84.542198 44.666252 415.240803 23.265367 1.376759 346.256600 52.140421 5.664950 -43.149988 0.191182 81.815482 131.237998 309.087759 -0.305014 -0.984418 0.320134 -11.381641 13.430133 210.965081 -20.554952 16.442455 0.173734 -28.949345 35.131527 377.735671 0.235618 2.521181 187.078684 1.399171 -0.649588 0.298598 2.101960 -437033.940611
6 -33237.959189 -3.243446 0.082749 46.655447 24.808438 -63.432853 0.799899 57.161371 -52.667007 -22.336759 18.869476 -29.225601 32.444872 -27.848718 21.001866 1.038692 7.940651 11.083933 5.259224 52.831082 -70.506608 0.663455 -38.478681 23.276655 1186.993177 -84.476960 44.801682 510.823176 18.156113 2.107856 399.514601 110.213313 9.192774 -41.003500 0.112865 133.052986 138.860945 314.252641 -0.095166 -1.183368 0.340473 -11.089206 13.125096 209.901534 -19.815286 16.615144 0.151296 -29.308129 34.924108 378.617459 0.321033 2.558275 194.164327 1.507693 -0.584740 0.305541 1.410650 -437035.929708
7 -33226.283198 -1.275114 1.622264 43.188151 24.662880 -48.655329 7.132896 71.606114 -72.155925 -25.440520 -27.242073 -35.211156 5.311306 -49.862019 -0.378377 -38.160457 -15.540773 12.126350 4.217643 28.455411 -81.524201 0.668766 -38.405312 22.632187 1208.076245 -82.362271 38.045545 557.364855 10.734558 0.708984 339.941764 60.076050 7.295905 -40.272745 0.091716 90.588178 138.805418 315.569663 0.085963 -1.057155 0.332170 -13.461515 14.273598 222.282853 -20.871995 17.305822 0.134655 -31.782507 34.976459 371.170937 0.299972 2.782494 196.639713 1.505346 -0.638963 0.288494 1.705772 -437059.281691
8 -33232.813379 -1.120657 2.487293 49.819465 24.357169 -63.688351 11.588905 29.976720 -120.438198 -36.811373 -2.605786 -28.871959 25.080266 -18.806024 -11.675000 -17.308105 -40.748608 5.234540 24.741242 61.565984 -37.069593 0.660217 -38.481588 22.986650 1221.507631 -88.631534 44.616938 593.131129 10.971769 1.048729 355.593279 34.052853 13.954940 -43.624271 0.193223 102.955909 139.959697 314.304304 0.234625 -1.068674 0.307645 -13.942503 13.452694 210.785459 -20.549223 16.239066 0.154302 -28.680646 34.949663 378.038191 0.324636 3.249068 189.780361 1.490893 -0.564559 0.301346 1.714491 -437046.221328
9 -33243.287557 -3.758098 6.020496 46.703461 23.103554 -84.628332 -12.116384 -14.314139 -58.199681 -23.664888 10.931467 -18.952436 14.206354 -38.088535 26.644833 -14.205177 -7.754540 0.565080 -7.250751 40.300059 -67.134713 0.649706 -38.713920 22.317399 1183.768888 -81.822790 45.742924 496.527246 20.589020 1.986668 390.126538 64.706067 13.811416 -35.493596 0.108879 88.997037 133.540572 314.542303 0.056330 -1.178849 0.304862 -14.053708 13.884420 218.179368 -21.107761 17.177759 0.149708 -31.624530 34.616205 370.005413 0.232744 3.053094 178.695016 1.545130 -0.610146 0.272901 2.031843 -437025.272972
10 -33226.587677 -1.954431 4.602865 50.208185 24.281004 -74.071357 23.017629 25.359011 -66.177027 -28.341749 6.844712 -27.238546 45.645896 -27.571324 -4.500803 -1.634326 -42.538165 32.089272 28.671347 43.718198 -49.057438 0.666958 -38.233780 22.414866 1196.306456 -78.852222 38.236341 433.045432 17.799147 1.325099 363.146366 81.179644 4.506593 -30.725453 0.184716 100.034127 140.713459 332.876984 0.808339 -1.242466 0.308303 -12.197552 13.645910 213.694109 -20.944198 16.644379 0.152426 -29.627721 33.535075 366.729492 0.256980 3.151577 191.345404 1.511555 -0.599669 0.301501 1.274093 -437058.672733
11 -33231.150192 -1.976973 0.859070 47.955087 24.759008 -73.666856 -0.305087 26.621143 -74.633506 -30.170822 6.796086 -2.124949 17.097463 -43.914340 33.081203 -27.455757 8.300665 45.816908 11.038413 96.644971 -46.719112 0.645036 -38.656122 23.597514 1215.871350 -88.260465 41.255096 375.425667 45.064669 2.281780 384.562603 45.634972 12.399044 -42.851852 0.119513 84.197585 135.535811 309.070156 0.344986 -1.216508 0.347907 -12.951505 13.508977 211.448585 -20.299899 16.869369 0.137852 -32.086631 35.034781 380.000474 0.282844 2.905403 190.062335 1.447971 -0.547380 0.290771 1.804520 -437049.547703
